Cluster,Migration,Cooking_Appliances,Electricity_Availability,Biomass
Cluster 1,59,0.272727273,14,580.8
Cluster 1,27,0.272727273,17,609.84
Cluster 1,31,0.181818182,0,348.48
Cluster 1,16,0.272727273,0,644.688
Cluster 1,25,0.181818182,0,653.4
Cluster 1,55,0.181818182,14,496.584
Cluster 1,56,0.363636364,15,487.872
Cluster 2,65,0.454545455,15,583.704
Cluster 1,69,0.272727273,14,406.56
Cluster 1,43,0.181818182,16,694.2375
Cluster 1,66,0.272727273,3,653.4
Cluster 2,61,0.454545455,10,731.808
Cluster 1,31,0.272727273,14,540.144
Cluster 1,54,0.181818182,4,471.9
Cluster 1,63,0.272727273,15,609.84
Cluster 1,24,0.181818182,12,261.36
Cluster 1,39,0.181818182,0,435.6
Cluster 1,32,0.181818182,0,544.5
Cluster 1,19,0.090909091,0,348.48
Cluster 1,27,0.181818182,0,326.7
Cluster 1,33,0.181818182,0,348.48
Cluster 3,51,0.272727273,24,0
Cluster 3,51,0.272727273,23,0
Cluster 3,59,0.090909091,24,0
Cluster 3,50,0.181818182,24,0
Cluster 3,60,0.272727273,23,326.7
Cluster 3,56,0.181818182,23,0
Cluster 3,8,0.090909091,0,261.36
Cluster 3,5,0.090909091,0,174.24
Cluster 3,9,0.090909091,0,254.1
Cluster 3,5,0.090909091,0,261.36
Cluster 3,4,0.090909091,0,304.92
Cluster 3,5,0.090909091,0,243.936
Cluster 3,5,0.090909091,0,522.72
Cluster 3,13,0.090909091,0,290.4
Cluster 3,11,0.090909091,0,217.8
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,21,0
Cluster 4,90,0.181818182,21,0
Cluster 1,16,0.181818182,0,261.36
Cluster 1,10,0.272727273,21,490.05
Cluster 1,20,0.272727273,20,490.05
Cluster 1,15,0.272727273,0,0
Cluster 1,12,0.181818182,0,217.8
Cluster 1,15,0.181818182,0,261.36
Cluster 1,15,0.181818182,0,174.24
Cluster 1,14,0.181818182,0,261.36
Cluster 1,15,0.181818182,0,313.632
Cluster 1,15,0.181818182,0,381.15
Cluster 1,6,0.181818182,0,217.8
Cluster 1,16,0.181818182,0,304.92
Cluster 1,12,0.272727273,0,381.15
Cluster 1,12,0.181818182,0,217.8
Cluster 3,8,0.090909091,0,348.48
Cluster 1,60,0.181818182,14,169.4
Cluster 1,45,0.181818182,12,261.36
Cluster 1,51,0.181818182,13,522.72
Cluster 2,50,0.181818182,10,0
Cluster 1,32,0.181818182,13,304.92
Cluster 2,44,0.363636364,14,0
Cluster 1,35,0.272727273,13,348.48
Cluster 1,74,0.090909091,9,392.04
Cluster 1,55,0.272727273,13,136.125
Cluster 2,50,0.272727273,15,314.6
Cluster 1,56,0.181818182,9,435.6
Cluster 1,45,0.454545455,14,435.6
Cluster 1,38,0.272727273,14,348.48
Cluster 1,26,0.181818182,13,217.8
Cluster 1,37,0.181818182,10,696.96
Cluster 2,46,0.363636364,11,601.128
Cluster 1,48,0.181818182,15,849.42
Cluster 1,51,0,15,855.0205714
Cluster 1,55,0.181818182,13,435.6
Cluster 1,23,0.272727273,16,348.48
Cluster 2,50,0.363636364,11,0
Cluster 1,6,0.363636364,13,459.9936
Cluster 2,50,0.363636364,14,522.72
Cluster 1,38,0.181818182,13,504.0514286
Cluster 1,48,0.181818182,14,544.5
Cluster 1,60,0,15,1263.24
Cluster 1,46,0.363636364,13,505.296
Cluster 3,8,0.090909091,24,348.48
Cluster 3,9,0.090909091,24,0
Cluster 3,3,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,6,0.090909091,24,0
Cluster 3,7,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,6,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,8,0.181818182,24,0
Cluster 5,55,0.181818182,24,261.36
Cluster 1,15,0.181818182,22,392.04
Cluster 4,90,0.272727273,21,0
Cluster 2,25,0.181818182,21,554.0832
Cluster 2,16,0.272727273,21,0
