PrincipleComp1,PrincipleComp2,Cluster
-1.608971344,1.652350718,Cluster_1
-0.212623902,2.083562444,Cluster_1
2.068223817,2.041913904,Cluster_1
0.358759637,2.117320794,Cluster_1
1.834050685,2.472700533,Cluster_1
0.337481342,1.525444688,Cluster_1
-2.397999176,0.011442997,Cluster_1
-1.208049758,1.427653746,Cluster_2
-0.143137387,1.538998961,Cluster_1
-0.566962101,0.899085679,Cluster_1
-0.45051446,1.864306326,Cluster_1
-1.091476073,1.769115237,Cluster_2
-1.964910647,1.565427799,Cluster_1
-1.032535875,0.778559724,Cluster_1
-1.318935,0.232375901,Cluster_1
-0.259102903,0.840466149,Cluster_1
1.206807257,2.377030637,Cluster_1
1.716964119,2.688093847,Cluster_1
1.770355911,1.951634702,Cluster_1
2.060122673,1.632108211,Cluster_1
2.17720924,1.416714897,Cluster_1
-0.892187554,-2.097868954,Cluster_3
-0.433192246,-1.455639401,Cluster_3
1.745104928,-1.860343313,Cluster_3
-0.143391504,-2.12117683,Cluster_3
-0.531636458,-2.38941918,Cluster_3
0.472462287,-1.901745801,Cluster_3
2.868749666,-0.004888422,Cluster_3
2.868749666,-0.004888422,Cluster_3
2.96094855,-0.653081123,Cluster_3
2.96094855,-0.653081123,Cluster_3
2.868749666,-0.004888422,Cluster_3
3.280022867,-0.99565321,Cluster_3
2.641874233,-0.310509036,Cluster_3
3.280022867,-0.99565321,Cluster_3
2.549675349,0.337683665,Cluster_3
-0.927005015,1.490239616,Cluster_4
-1.08044023,1.741037264,Cluster_4
-1.772288509,1.005762986,Cluster_4
-0.029470583,1.809832305,Cluster_4
1.482790987,3.118880476,Cluster_1
-0.076037009,2.149373263,Cluster_1
-0.28922876,1.718068208,Cluster_1
0.569476772,2.152549468,Cluster_1
1.599877553,2.903487161,Cluster_1
1.198706113,1.967224944,Cluster_1
1.825949541,2.06289484,Cluster_1
1.315792679,1.75183163,Cluster_1
1.825949541,2.06289484,Cluster_1
1.62396179,2.190073612,Cluster_1
1.825949541,2.06289484,Cluster_1
1.482790987,3.118880476,Cluster_1
1.496574019,2.057504146,Cluster_1
1.089720691,2.592423952,Cluster_1
3.162936301,-0.780259896,Cluster_3
-1.073051476,0.876491852,Cluster_1
0.769540834,2.110261164,Cluster_1
-0.272726095,1.512842902,Cluster_1
-0.74268843,0.112644611,Cluster_2
-0.714378306,0.316897814,Cluster_1
-1.040087135,0.662165943,Cluster_2
-1.30932635,0.950887843,Cluster_1
1.101312958,2.393568029,Cluster_1
-1.727990466,0.303469912,Cluster_1
0.132182211,1.242488882,Cluster_2
1.687709364,1.280568601,Cluster_1
-2.397528472,2.031484158,Cluster_1
-2.141881424,0.448803176,Cluster_1
-2.386398912,2.128289749,Cluster_1
-0.282846431,1.508417041,Cluster_1
-1.439334758,1.061255353,Cluster_2
-1.480986101,0.547327805,Cluster_1
-0.392677212,0.878202072,Cluster_1
0.196296053,1.394684021,Cluster_1
-1.434973875,0.124984822,Cluster_1
-0.916928561,0.153063371,Cluster_2
-2.24783644,0.355700145,Cluster_1
-2.486673958,0.58989943,Cluster_2
-1.647733179,0.779634959,Cluster_1
-0.255992556,1.911880852,Cluster_1
0.712519623,2.206597595,Cluster_1
-0.929166012,2.571733415,Cluster_1
1.81400066,-1.806899271,Cluster_3
2.324157522,-1.495836061,Cluster_3
2.95140095,-1.400166166,Cluster_3
1.593810004,-0.162499186,Cluster_3
2.515240067,-0.842200765,Cluster_3
2.515240067,-0.842200765,Cluster_3
2.005083205,-1.153263974,Cluster_3
2.005083205,-1.153263974,Cluster_3
2.324157522,-1.495836061,Cluster_3
2.005083205,-1.153263974,Cluster_3
0.735539972,-2.217622866,Cluster_3
-0.39822487,-2.031089589,Cluster_5
-0.467648204,2.40714451,Cluster_1
-1.388844131,1.366671627,Cluster_4
-0.172341918,1.189340588,Cluster_2
-0.673167537,1.329844397,Cluster_2
-0.800206365,2.010672099,Cluster_4
-0.737234544,1.424667216,Cluster_4
-1.402552254,0.901977761,Cluster_4
-1.657583945,1.743719496,Cluster_4
-0.276005471,0.989361754,Cluster_4
-2.70169608,-0.767262811,Cluster_4
-2.093073963,-1.125285156,Cluster_4
-2.512072635,-0.897855285,Cluster_4
-1.081033112,0.975436248,Cluster_4
-0.658991748,2.024506438,Cluster_1
-0.658991748,2.024506438,Cluster_4
-2.514057391,-0.489506096,Cluster_2
-3.087874339,-0.203154592,Cluster_4
3.397109433,-1.211046525,Cluster_3
-1.581386974,-2.095147262,Cluster_3
-1.626870504,-1.940195355,Cluster_3
0.178989942,-1.906276592,Cluster_3
0.454973672,-1.164426753,Cluster_3
0.891134555,-1.722392155,Cluster_3
-0.795336107,-1.631510722,Cluster_3
2.726775418,-0.222294494,Cluster_3
3.162936301,-0.780259896,Cluster_3
2.985836232,-0.220281737,Cluster_3
3.162936301,-0.780259896,Cluster_3
2.7516631,0.210504892,Cluster_3
3.397109433,-1.211046525,Cluster_3
3.397109433,-1.211046525,Cluster_3
