id,zone,mean
ID1,1,71.06102767
ID2,2,83.53453369
ID3,3,76.43173423
ID4,4,57.97120186
ID5,5,71.51561422
ID6,6,33.84146035
ID7,7,42.11529151
ID8,8,68.65410455
ID9,9,68.78161437
ID10,10,63.96142857
ID11,11,67.43967052
ID12,12,73.9619012
ID13,13,56.82561785
ID14,14,54.85766348
ID15,15,38.83875379
ID16,16,86.9227358
ID17,17,70.46767352
ID18,18,104.6852546
ID19,19,60.34354427
ID20,20,64.83562913
ID21,21,48.22668536
ID22,22,71.23498201
ID23,23,77.24906519
ID24,24,84.28138402
ID25,25,53.14994153
ID26,26,47.56414671
ID27,27,78.07809878
ID28,28,39.11215861
ID29,29,54.7416744
ID30,30,64.19447649
ID31,31,71.39430972
ID32,32,68.73129398
ID33,33,92.95263936
ID34,34,91.6637189
ID35,35,81.43588058
ID36,36,58.87738747
ID37,37,37.03187163
ID38,38,82.64520154
ID39,39,47.01416062
ID40,40,53.87148083
ID41,41,88.09430638
ID42,42,91.36717898
ID43,43,87.25167008
ID44,44,89.17714385
ID45,45,76.93171758
ID46,46,62.29616015
ID47,47,86.63830844
ID48,48,85.95162055
ID49,49,73.16270701
ID50,50,63.42583232
ID51,51,78.88057131
ID52,52,86.16304329
ID53,53,68.3082258
ID54,54,86.12768964
ID55,55,75.59419805
ID56,56,88.24158865
ID57,57,68.54522587
ID58,58,82.22739456
ID59,59,80.54164421
ID60,60,59.81677522
